,week,hku1,oc43,flu
1,1,1.925471612,2.385077932,2.008579847
2,2,1.919412721,2.383266292,2.00284104
3,3,1.918383703,2.382956385,2.001864669
4,4,1.91504686,2.381946919,1.998695092
5,5,1.911603048,2.380897773,1.995418324
6,6,1.895663563,2.375941598,1.980176428
7,7,1.854687173,2.362367164,1.940386289
8,8,1.859741758,2.36411217,1.945344466
9,9,1.851446101,2.361236992,1.937199276
10,10,1.85277737,2.361702287,1.93850908
11,11,1.805605378,2.344212096,1.89143067
12,12,1.812409693,2.346872023,1.898310342
13,13,1.805925477,2.344338361,1.891755026
14,14,1.827091853,2.352446445,1.913049805
15,15,1.819256245,2.349498804,1.905201212
16,16,1.788153149,2.33715011,1.873636469
17,17,1.780168384,2.33379613,1.865420708
18,18,1.761370389,2.325564314,1.845882132
19,19,1.712500458,2.301509276,1.793630535
20,20,1.699495858,2.29431096,1.779319679
21,21,1.671596066,2.277398868,1.747933646
22,22,1.644060196,2.258214351,1.715890045
23,23,1.61586221,2.234983181,1.681711549
24,24,1.578010708,2.19460246,1.632880936
25,25,1.553487303,2.158144913,1.598578175
26,26,1.533340177,2.115170377,1.567820224
27,27,1.526605572,2.095656774,1.556731527
28,28,1.520654474,2.074496958,1.546432746
29,29,1.517138986,2.05938673,1.540060236
30,30,1.51510764,2.049395672,1.536254705
31,31,1.514352238,2.045384514,1.534812771
32,32,1.513215181,2.038991446,1.532611932
33,33,1.513654808,2.041517169,1.53346737
34,34,1.514668035,2.047082889,1.535417455
35,35,1.51650512,2.056383316,1.5388834
36,36,1.520175949,2.072576376,1.545579519
37,37,1.524680462,2.089299652,1.55345838
38,38,1.531369369,2.109838884,1.564628215
39,39,1.550484843,2.152735582,1.594173691
40,40,1.57393156,2.189293634,1.627352727
41,41,1.608329103,2.227958212,1.672298651
42,42,1.65733684,2.267823657,1.731486234
43,43,1.715087793,2.302896186,1.796455645
44,44,1.752867903,2.32167316,1.836949062
45,45,1.777220409,2.332537108,1.862375143
46,46,1.804615558,2.343820938,1.890427238
47,47,1.864678791,2.365796422,1.950173308
48,48,1.896749748,2.376284716,1.981219094
49,49,1.918807199,2.383084007,2.002266558
50,50,1.894527394,2.375581824,1.97908514
51,51,1.923961336,2.384628431,2.007150963
52,52,1.942219614,2.389973054,2.024355311
