,week,hku1,oc43,flu
1,1,1.520559641,2.074119396,1.546263987
2,2,1.520685288,2.074619319,1.546487546
3,3,1.52027,2.072956912,1.545747545
4,4,1.519933591,2.071588718,1.545145777
5,5,1.519820992,2.07112635,1.544943887
6,6,1.519497165,2.069783948,1.544361926
7,7,1.519583229,2.070142575,1.544516791
8,8,1.519565761,2.070069893,1.544485369
9,9,1.518935015,2.067407526,1.543346839
10,10,1.519183034,2.068463351,1.543795458
11,11,1.518537498,2.065690297,1.542625237
12,12,1.5178571,2.062676405,1.541382568
13,13,1.517594374,2.061486239,1.540900097
14,14,1.517723868,2.062074746,1.541138087
15,15,1.517689856,2.061920528,1.541075613
16,16,1.517227039,2.059796385,1.540222989
17,17,1.516698787,2.057311299,1.539243948
18,18,1.516724005,2.05743145,1.53929083
19,19,1.517105769,2.059231726,1.539998794
20,20,1.518169949,2.06407421,1.541955157
21,21,1.518836356,2.066984235,1.543168044
22,22,1.518544946,2.065722762,1.542638788
23,23,1.519425896,2.069485942,1.544233575
24,24,1.520920671,2.075548903,1.546905596
25,25,1.52313346,2.083875273,1.550789364
26,26,1.524146554,2.087461363,1.552541297
27,27,1.525117643,2.090779688,1.554206233
28,28,1.52506992,2.090619203,1.554124729
29,29,1.524846859,2.089865603,1.553743346
30,30,1.526701937,2.095964506,1.556894044
31,31,1.528294122,2.10091597,1.559561886
32,32,1.527910026,2.099743774,1.558921234
33,33,1.528738533,2.102255335,1.560300877
34,34,1.52899368,2.103016295,1.560724071
35,35,1.527306588,2.097873955,1.557910999
36,36,1.52778991,2.099374364,1.558720512
37,37,1.528037027,2.100132883,1.559133269
38,38,1.526753617,2.09612915,1.556981151
39,39,1.526434061,2.095106701,1.556441974
40,40,1.525136319,2.09084242,1.55423812
41,41,1.525138897,2.090851076,1.55424252
42,42,1.52343971,2.084973286,1.551320618
43,43,1.522661856,2.082159797,1.549968386
44,44,1.521679823,2.078487097,1.548247262
45,45,1.520586684,2.074227216,1.546312128
46,46,1.520460553,2.073723293,1.546087482
47,47,1.520580492,2.074202536,1.546301105
48,48,1.519967762,2.071728596,1.545206999
49,49,1.520421185,2.073565462,1.546017306
50,50,1.520314378,2.073135947,1.545826773
51,51,1.520615283,2.074341106,1.546363024
52,52,1.520603083,2.074292536,1.546341313
